Year-Month-Day,Type,Keyword,Frequency
2012-12-31,Citi Annual Reports,market,320
2012-12-31,Citi Annual Reports,trade,41
2012-12-31,Citi Annual Reports,energy,8
2012-12-31,JP Morgan Annual Reports,interest,549
2012-12-31,JP Morgan Annual Reports,inflation,3
2012-12-31,JP Morgan Annual Reports,unemployment,15
2012-12-31,JP Morgan Annual Reports,credit,1302
2012-12-31,JP Morgan Annual Reports,market,372
2012-12-31,JP Morgan Annual Reports,trade,20
2012-12-31,JP Morgan Annual Reports,energy,13
2007-12-31,Citi Annual Reports,interest,0
2007-12-31,Citi Annual Reports,inflation,0
2007-12-31,Citi Annual Reports,unemployment,0
2007-12-31,Citi Annual Reports,credit,3
2007-12-31,Citi Annual Reports,market,4
2007-12-31,Citi Annual Reports,trade,1
2007-12-31,Citi Annual Reports,energy,1
2007-12-31,JP Morgan Annual Reports,interest,301
2007-12-31,JP Morgan Annual Reports,inflation,1
2007-12-31,JP Morgan Annual Reports,unemployment,0
2007-12-31,JP Morgan Annual Reports,credit,801
2007-12-31,JP Morgan Annual Reports,market,289
2007-12-31,JP Morgan Annual Reports,trade,12
2007-12-31,JP Morgan Annual Reports,energy,3
2018-12-31,Citi Annual Reports,interest,536
2018-12-31,Citi Annual Reports,inflation,2
2018-12-31,Citi Annual Reports,unemployment,4
2018-12-31,Citi Annual Reports,credit,801
2018-12-31,Citi Annual Reports,market,270
2018-12-31,Citi Annual Reports,trade,52
2018-12-31,Citi Annual Reports,energy,13
2018-12-31,JP Morgan Annual Reports,interest,531
2018-12-31,JP Morgan Annual Reports,inflation,2
2018-12-31,JP Morgan Annual Reports,unemployment,10
2018-12-31,JP Morgan Annual Reports,credit,1005
2018-12-31,JP Morgan Annual Reports,market,365
2018-12-31,JP Morgan Annual Reports,trade,16
2018-12-31,JP Morgan Annual Reports,energy,6
2013-12-31,Citi Annual Reports,interest,608
2013-12-31,Citi Annual Reports,inflation,10
2013-12-31,Citi Annual Reports,unemployment,3
2013-12-31,Citi Annual Reports,credit,976
2013-12-31,Citi Annual Reports,market,309
2013-12-31,Citi Annual Reports,trade,50
2013-12-31,Citi Annual Reports,energy,7
2013-12-31,JP Morgan Annual Reports,interest,568
2013-12-31,JP Morgan Annual Reports,inflation,3
2013-12-31,JP Morgan Annual Reports,unemployment,13
2013-12-31,JP Morgan Annual Reports,credit,1213
2013-12-31,JP Morgan Annual Reports,market,437
2013-12-31,JP Morgan Annual Reports,trade,28
2013-12-31,JP Morgan Annual Reports,energy,12
2019-12-31,Citi Annual Reports,interest,547
2019-12-31,Citi Annual Reports,inflation,3
2019-12-31,Citi Annual Reports,unemployment,2
2019-12-31,Citi Annual Reports,credit,831
2019-12-31,Citi Annual Reports,market,270
2019-12-31,Citi Annual Reports,trade,47
2019-12-31,Citi Annual Reports,energy,14
2019-12-31,JP Morgan Annual Reports,interest,519
2019-12-31,JP Morgan Annual Reports,inflation,0
2019-12-31,JP Morgan Annual Reports,unemployment,8
2019-12-31,JP Morgan Annual Reports,credit,958
2019-12-31,JP Morgan Annual Reports,market,339
2019-12-31,JP Morgan Annual Reports,trade,4
2019-12-31,JP Morgan Annual Reports,energy,7
2015-12-31,Citi Annual Reports,interest,541
2015-12-31,Citi Annual Reports,inflation,6
2015-12-31,Citi Annual Reports,unemployment,3
2015-12-31,Citi Annual Reports,credit,854
2015-12-31,Citi Annual Reports,market,279
2015-12-31,Citi Annual Reports,trade,40
2015-12-31,Citi Annual Reports,energy,30
2015-12-31,JP Morgan Annual Reports,interest,523
2015-12-31,JP Morgan Annual Reports,inflation,0
2015-12-31,JP Morgan Annual Reports,unemployment,12
2015-12-31,JP Morgan Annual Reports,credit,1080
2015-12-31,JP Morgan Annual Reports,market,391
2015-12-31,JP Morgan Annual Reports,trade,23
2015-12-31,JP Morgan Annual Reports,energy,8
2020-12-31,Citi Annual Reports,interest,566
2020-12-31,Citi Annual Reports,inflation,5
2020-12-31,Citi Annual Reports,unemployment,17
2020-12-31,Citi Annual Reports,credit,1011
2020-12-31,Citi Annual Reports,market,279
2020-12-31,Citi Annual Reports,trade,40
2020-12-31,Citi Annual Reports,energy,17
2020-12-31,JP Morgan Annual Reports,interest,523
2020-12-31,JP Morgan Annual Reports,inflation,7
2020-12-31,JP Morgan Annual Reports,unemployment,28
2020-12-31,JP Morgan Annual Reports,credit,1152
2020-12-31,JP Morgan Annual Reports,market,397
2020-12-31,JP Morgan Annual Reports,trade,18
2020-12-31,JP Morgan Annual Reports,energy,14
2011-12-31,Citi Annual Reports,interest,378
2011-12-31,Citi Annual Reports,inflation,3
2011-12-31,Citi Annual Reports,unemployment,5
2011-12-31,Citi Annual Reports,credit,716
2011-12-31,Citi Annual Reports,market,275
2011-12-31,Citi Annual Reports,trade,30
2011-12-31,Citi Annual Reports,energy,9
2011-12-31,JP Morgan Annual Reports,interest,545
2011-12-31,JP Morgan Annual Reports,inflation,0
2011-12-31,JP Morgan Annual Reports,unemployment,11
2011-12-31,JP Morgan Annual Reports,credit,1311
2011-12-31,JP Morgan Annual Reports,market,357
2011-12-31,JP Morgan Annual Reports,trade,32
2011-12-31,JP Morgan Annual Reports,energy,7
2008-12-31,Citi Annual Reports,interest,11
2008-12-31,Citi Annual Reports,inflation,0
2008-12-31,Citi Annual Reports,unemployment,0
2008-12-31,Citi Annual Reports,credit,1
2008-12-31,Citi Annual Reports,market,1
2008-12-31,Citi Annual Reports,trade,1
2008-12-31,Citi Annual Reports,energy,0
2008-12-31,JP Morgan Annual Reports,interest,407
2008-12-31,JP Morgan Annual Reports,inflation,0
2008-12-31,JP Morgan Annual Reports,unemployment,7
2008-12-31,JP Morgan Annual Reports,credit,1054
2008-12-31,JP Morgan Annual Reports,market,363
2008-12-31,JP Morgan Annual Reports,trade,19
2008-12-31,JP Morgan Annual Reports,energy,11
